action,project_id,file_ext,file_size,file_name,rel_path,reason,existing_ids,job_id
missing,KLP,.pdf,1274155,20231127_EI Compraventa_4232_Kenichi.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/20231127_EI Compraventa_4232_Kenichi.pdf,no source_hash or title/project match; enqueued,,2bc389df-7950-4575-a7f1-ed59707ccf30
missing,KLP,.pdf,1338566,20231127_EI Elevación a Público Acuerdos Sociales_4233_Lona Barcelona.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/20231127_EI Elevación a Público Acuerdos Sociales_4233_Lona Barcelona.pdf,no source_hash or title/project match,,
legacy_title_match,KLP,.pdf,970263,20251212_CS CV de participaciones sociales_2113_Kelpa.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/20251212_CS CV de participaciones sociales_2113_Kelpa.pdf,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,9ac6dc9a-2442-4f46-82d9-258e60c39ad2,
missing,KLP,.pdf,296848,s4192__Liquidacion LONA BARCELONA SL (antes KENICHI SL).pdf,0. GEMSWELL VENTURES SL/SL/Corporate/1. Compraventa SL/s4192__Liquidacion LONA BARCELONA SL (antes KENICHI SL).pdf,no source_hash or title/project match; enqueued,,1d31a8c2-f7c0-43ed-b132-f2051102cbd2
missing,MAD,.pdf,606069,20250310_VSO RE III_PoA_acquisition new SPV OpCo Waves Madrid_apostilled version.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/2. Compraventa participaciones_Lux/20250310_VSO RE III_PoA_acquisition new SPV OpCo Waves Madrid_apostilled version.pdf,no source_hash or title/project match; enqueued,,22df3236-bc7b-48f5-876a-2750098344dd
legacy_title_match,KLP,.pdf,120741,20250325_CS CV_663_Lona Barcelona a VSORE III.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/2. Compraventa participaciones_Lux/20250325_CS CV_663_Lona Barcelona a VSORE III.pdf,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,55e9f445-a37d-42b6-a266-c68fdfaedd94,
unsupported,KLP,.aforixm,5507,20250325_Modelo D1A_lona.aforixm,0. GEMSWELL VENTURES SL/SL/Corporate/2. Compraventa participaciones_Lux/20250325_Modelo D1A_lona.aforixm,unsupported extension .aforixm,,
unsupported,KLP,.aforixn,14734,B56510332_D1A_8105045.aforixn,0. GEMSWELL VENTURES SL/SL/Corporate/2. Compraventa participaciones_Lux/B56510332_D1A_8105045.aforixn,unsupported extension .aforixn,,
missing,MAD,.doc,114688,PoA_acquisition new SPV OpCo Waves Madrid.doc,0. GEMSWELL VENTURES SL/SL/Corporate/2. Compraventa participaciones_Lux/PoA_acquisition new SPV OpCo Waves Madrid.doc,no source_hash or title/project match; enqueued,,e99928a9-f204-49e2-b2d1-ec0939dd7984
missing,KLP,.pdf,228560,202.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/3. Cambios Sociales/202.pdf,no source_hash or title/project match; enqueued,,da4e15ad-4011-4baf-aca3-a456847398f7
legacy_title_match,KLP,.pdf,136078,20250314_Certificado denominación.pdf,0. GEMSWELL VENTURES SL/SL/Corporate/3. Cambios Sociales/20250314_Certificado denominación.pdf,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,03f50066-5d04-46c2-a9a7-aa0e7916c1a8,
legacy_title_match,KLP,.docx,103649,20250314_Solicitud denominación.docx,0. GEMSWELL VENTURES SL/SL/Corporate/3. Cambios Sociales/20250314_Solicitud denominación.docx,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,15091618-06d5-4014-955e-5d2b45861f56,
legacy_title_match,KLP,.pdf,2715095,"20250326_CS Elevacion a público acuerdos sociales. Denominacion, Administracion Poderes Domicilio Gemswell Ventures_513.pdf","0. GEMSWELL VENTURES SL/SL/Corporate/3. Cambios Sociales/20250326_CS Elevacion a público acuerdos sociales. Denominacion, Administracion Poderes Domicilio Gemswell Ventures_513.pdf",legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,cc4febe4-3aff-4ea7-8256-7c3cf2e2a733,
missing,KLP,.pdf,18506156,"20250326_EI Cese y nombramiento de administrador, translado de domicilio, modificación de objeto social y cambio de denominación_513_Gemswell Venture.pdf","0. GEMSWELL VENTURES SL/SL/Corporate/3. Cambios Sociales/20250326_EI Cese y nombramiento de administrador, translado de domicilio, modificación de objeto social y cambio de denominación_513_Gemswell Venture.pdf",no source_hash or title/project match,,
legacy_title_match,KLP,.pdf,4119761,"20250326_EI Elevacion a público acuerdos sociales. Denominacion, Administracion Poderes Domicilio Gemswell Ventures.pdf","0. GEMSWELL VENTURES SL/SL/Corporate/3. Cambios Sociales/20250326_EI Elevacion a público acuerdos sociales. Denominacion, Administracion Poderes Domicilio Gemswell Ventures.pdf",legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,4c1bb809-9ebb-402c-ace7-0777fd33fb39,
legacy_title_match,KLP,.docx,45449,Acta Acuerdos Sociales LONA BARCELONA SL (GEMSWELL) 18.03.2025.docx,0. GEMSWELL VENTURES SL/SL/Corporate/3. Cambios Sociales/Acta Acuerdos Sociales LONA BARCELONA SL (GEMSWELL) 18.03.2025.docx,legacy title/project match has NULL source_hash; skipped by default to avoid duplicates,7c497564-5f01-43e6-848d-9d9803aaeed0,
